product_name,product_url,product_price,product_star_ratings,product_reviews,product_reviews_url,product_images,product_images_url
"Fire 7 tablet, 7"" display, 16 GB, latest model (2019 release), Black",https://www.amazon.com/Fire-Tablet-7/dp/B07FKR6KXF/ref=sr_1_1?dchild=1&keywords=tablet&qid=1627940688&sr=8-1,49,4.4 out of 5 stars,"199,867",https://www.amazon.com/Fire-Tablet-7/dp/B07FKR6KXF/ref=sr_1_1?dchild=1&keywords=tablet&qid=1627940688&sr=8-1#customerReviews,https://m.media-amazon.com/images/I/71POuqajw1L._AC_UY218_.jpg,https://www.amazon.com/Fire-Tablet-7/dp/B07FKR6KXF/ref=sr_1_1?dchild=1&keywords=tablet&qid=1627940688&sr=8-1
"Fire HD 8 tablet, 8"" HD display, 32 GB, latest model (2020 release), designed for portable entertainment, Twilight Blue",https://www.amazon.com/Fire-HD-8-tablet/dp/B07WQ1VH72/ref=sr_1_2?dchild=1&keywords=tablet&qid=1627940688&sr=8-2,89,4.6 out of 5 stars,"111,477",https://www.amazon.com/Fire-HD-8-tablet/dp/B07WQ1VH72/ref=sr_1_2?dchild=1&keywords=tablet&qid=1627940688&sr=8-2#customerReviews,https://m.media-amazon.com/images/I/71MPAn7oA+L._AC_UY218_.jpg,https://www.amazon.com/Fire-HD-8-tablet/dp/B07WQ1VH72/ref=sr_1_2?dchild=1&keywords=tablet&qid=1627940688&sr=8-2
"All-new Fire HD 10 tablet, 10.1"", 1080p Full HD, 32 GB, latest model (2021 release), Black",https://www.amazon.com/Fire-HD-10-tablet/dp/B08BX7FV5L/ref=sr_1_3?dchild=1&keywords=tablet&qid=1627940688&sr=8-3,149,4.6 out of 5 stars,"14,311",https://www.amazon.com/Fire-HD-10-tablet/dp/B08BX7FV5L/ref=sr_1_3?dchild=1&keywords=tablet&qid=1627940688&sr=8-3#customerReviews,https://m.media-amazon.com/images/I/61uE03cRsyS._AC_UY218_.jpg,https://www.amazon.com/Fire-HD-10-tablet/dp/B08BX7FV5L/ref=sr_1_3?dchild=1&keywords=tablet&qid=1627940688&sr=8-3
Samsung Galaxy Tab A7 10.4 Wi-Fi 32GB Silver (SM-T500NZSAXAR),https://www.amazon.com/Samsung-Galaxy-Wi-Fi-Silver-SM-T500NZSAXAR/dp/B08GHVSGMQ/ref=sr_1_4?dchild=1&keywords=tablet&qid=1627940688&sr=8-4,211,4.7 out of 5 stars,"11,096",https://www.amazon.com/Samsung-Galaxy-Wi-Fi-Silver-SM-T500NZSAXAR/dp/B08GHVSGMQ/ref=sr_1_4?dchild=1&keywords=tablet&qid=1627940688&sr=8-4#customerReviews,https://m.media-amazon.com/images/I/71MvL2kCFCL._AC_UY218_.jpg,https://www.amazon.com/Samsung-Galaxy-Wi-Fi-Silver-SM-T500NZSAXAR/dp/B08GHVSGMQ/ref=sr_1_4?dchild=1&keywords=tablet&qid=1627940688&sr=8-4
"Tablet 9 Inch,Android 10.0 Tablets,9"" IPS Full HD Touch-Screen,1.6 GHz Quad Core Processor,2.4 WiFi Bluetooth 4.2,2GB RAM,32GB Storage,4000mAh Battery,Hyjoy HB901",https://www.amazon.com/Android-Touch-Screen-Processor-Bluetooth-Hyjoy/dp/B08T5Q282M/ref=sr_1_5?dchild=1&keywords=tablet&qid=1627940688&sr=8-5,90,4.3 out of 5 stars,"1,119",https://www.amazon.com/Android-Touch-Screen-Processor-Bluetooth-Hyjoy/dp/B08T5Q282M/ref=sr_1_5?dchild=1&keywords=tablet&qid=1627940688&sr=8-5#customerReviews,https://m.media-amazon.com/images/I/71HXOj4qpcL._AC_UY218_.jpg,https://www.amazon.com/Android-Touch-Screen-Processor-Bluetooth-Hyjoy/dp/B08T5Q282M/ref=sr_1_5?dchild=1&keywords=tablet&qid=1627940688&sr=8-5
"SAMSUNG Galaxy Tab A 8.0-inch Android Tablet 64GB Wi-Fi Lightweight Large Screen Feel Camera Long-Lasting Battery, Black",https://www.amazon.com/Samsung-Lightweight-Android-Long-Lasting-Battery/dp/B08QQTQNDC/ref=sr_1_6?dchild=1&keywords=tablet&qid=1627940688&sr=8-6,159,4.6 out of 5 stars,"13,326",https://www.amazon.com/Samsung-Lightweight-Android-Long-Lasting-Battery/dp/B08QQTQNDC/ref=sr_1_6?dchild=1&keywords=tablet&qid=1627940688&sr=8-6#customerReviews,https://m.media-amazon.com/images/I/71HX44IWA7L._AC_UY218_.jpg,https://www.amazon.com/Samsung-Lightweight-Android-Long-Lasting-Battery/dp/B08QQTQNDC/ref=sr_1_6?dchild=1&keywords=tablet&qid=1627940688&sr=8-6
"Lenovo Tab M10 Plus, 10.3"" FHD Android Tablet, Octa-Core Processor, 32GB Storage, 2GB RAM, Iron Grey, ZA5T0263US",https://www.amazon.com/Lenovo-Android-Octa-Core-Processor-ZA5T0263US/dp/B083JVJQH4/ref=sr_1_7?dchild=1&keywords=tablet&qid=1627940688&sr=8-7,149,4.5 out of 5 stars,"7,828",https://www.amazon.com/Lenovo-Android-Octa-Core-Processor-ZA5T0263US/dp/B083JVJQH4/ref=sr_1_7?dchild=1&keywords=tablet&qid=1627940688&sr=8-7#customerReviews,https://m.media-amazon.com/images/I/71sfODG+c+L._AC_UY218_.jpg,https://www.amazon.com/Lenovo-Android-Octa-Core-Processor-ZA5T0263US/dp/B083JVJQH4/ref=sr_1_7?dchild=1&keywords=tablet&qid=1627940688&sr=8-7
"Tablet 10 Inch, Dual SIM Android 9.0 Quad Core Processor Tablets, 32GB ROM 6000mAh Battery Google Certified HD Tablet, Support 128GB Memory Storage Expand, WiFi, Bluetooth, GPS",https://www.amazon.com/Android-Touchscreen-Bluetooth-Certified-Support/dp/B087WSHNF9/ref=sr_1_8?dchild=1&keywords=tablet&qid=1627940688&sr=8-8,99,3.8 out of 5 stars,"1,106",https://www.amazon.com/Android-Touchscreen-Bluetooth-Certified-Support/dp/B087WSHNF9/ref=sr_1_8?dchild=1&keywords=tablet&qid=1627940688&sr=8-8#customerReviews,https://m.media-amazon.com/images/I/81RSlg8saZL._AC_UY218_.jpg,https://www.amazon.com/Android-Touchscreen-Bluetooth-Certified-Support/dp/B087WSHNF9/ref=sr_1_8?dchild=1&keywords=tablet&qid=1627940688&sr=8-8
"Fire HD 8 Kids tablet, 8"" HD display, ages 3-7, 32 GB, Blue Kid-Proof Case",https://www.amazon.com/Fire-HD-8-Kids-Edition-tablet/dp/B07WDDT3G5/ref=sr_1_9?dchild=1&keywords=tablet&qid=1627940688&sr=8-9,139,4.7 out of 5 stars,"89,847",https://www.amazon.com/Fire-HD-8-Kids-Edition-tablet/dp/B07WDDT3G5/ref=sr_1_9?dchild=1&keywords=tablet&qid=1627940688&sr=8-9#customerReviews,https://m.media-amazon.com/images/I/61lgxCi9b7L._AC_UY218_.jpg,https://www.amazon.com/Fire-HD-8-Kids-Edition-tablet/dp/B07WDDT3G5/ref=sr_1_9?dchild=1&keywords=tablet&qid=1627940688&sr=8-9
"Lenovo Tab M8 Tablet, 8"" HD Android Tablet, Quad-Core Processor, 2GHz, 32GB Storage, Full Metal Cover, Long Battery Life, Android 9 Pie, ZA5G0060US, Slate Black",https://www.amazon.com/Lenovo-Android-Quad-Core-Proocessor-ZA5G0060US/dp/B07Y2KBBTD/ref=sr_1_10?dchild=1&keywords=tablet&qid=1627940688&sr=8-10,99,4.6 out of 5 stars,"4,935",https://www.amazon.com/Lenovo-Android-Quad-Core-Proocessor-ZA5G0060US/dp/B07Y2KBBTD/ref=sr_1_10?dchild=1&keywords=tablet&qid=1627940688&sr=8-10#customerReviews,https://m.media-amazon.com/images/I/716LsyDg3fL._AC_UY218_.jpg,https://www.amazon.com/Lenovo-Android-Quad-Core-Proocessor-ZA5G0060US/dp/B07Y2KBBTD/ref=sr_1_10?dchild=1&keywords=tablet&qid=1627940688&sr=8-10
