,name,year,rating,synopsis,director
1,Visconti's Eagles,2018,10,"
        Add a Plot
",Claudio Costa
2,Le Pan prima della Pan,2015,10,"
History of the italian fighter wings after WWII and their demonstration teams Cavallino Rampante (Prancing Horse), Getti Tonanti (Thundering Jets), Diavoli Rossi (Red Devils), Tigri Bianche (White Tigers) and Lanceri Neri (Black Lancers).",Claudio Costa
3,Cielo e sabbia,2012,10,"
        Add a Plot
",Claudio Costa
4,Il cacciatore del cielo,2011,10,"
        Add a Plot
",Claudio Costa
5,Comandante Max,2011,10,"
        Add a Plot
",Claudio Costa
6,Il nemico sulle ali,2010,10,"
        Add a Plot
",Claudio Costa
7,Volando con Visconti,2010,10,"
        Add a Plot
",Claudio Costa
8,La morale della favola,2020,10,"
        Add a Plot
",Claudio Costa
9,Dalla Folgore ai Gruppi di Combattimento,2020,10,"
        Add a Plot
",Claudio Costa
10,Priyamanasam,2015,9.8,"
        Add a Plot
",Vinod Mankara
11,Schattenstunde,2021,9.8,"
In 1942, Christian writer Jochen Klepper lived with his Jewish wife and daughter in Berlin, Germany. Their applications to emigrate got rejected and they became part of the last and sad defense of the JewishChristian community.",Benjamin Martins
12,Methagu,2021,9.7,"
The Movie shows the true events that happened in Tamileelam to suppress Tamil ethnicity and it is talking about how and why Tamil leader Prabhakaran emerged in the Tamil freedom struggle in the Indian Ocean Island nation Srilanka.",Kittu
13,Kaye Ballard  The Show Goes On,2019,9.6,"
The greatest star you never knew, Kaye Ballard did it all as a superb singer, actor, and comedian over eight decades, from big bands to Broadway, radio to recordings, television to the big screen.",Dan Wingate
14,Wendo Musaly,2020,9.6,"
Wendo Musaly, is a Congolese actor, singer, songwriter, and dancer. Born on November 21/1996, in South Kivu in Democratic Republic of Congo (DRC).",Mudibu Bisengeta
15,WMTv17,2020,9.6,"
WMTv17 is a Video Tv Program formed by a singer and songwriter ""Wendo Musaly"" on April 02, 2020. It's based on producing music worldwide and labeling music.",Wendo Mbilizi
16,Lata Bhagwan Kare,2020,9.6,"
To save her husband from fatal condition 65 years old women participate and won in Exclusive Marathon.",Naveen Deshaboina
17,Shaheed Kartar Singh Sarabha,1977,9.6,"
        Add a Plot
",Mehar Mittal
18,Salina P,2016,9.4,"
The story of a woman of God who refused to accept refusals",Michele Hawkins Jones
19,La vera storia di Mamma Lucia,2015,9.4,"
Set during the Second World War, is the story of Lucia Apicella, woman who dedicated himself to find the remains of the fallen soldiers, and then put them back together in boxes of zinc and...                See full summary »
",Giuseppe Esposito
20,Berenshtein,2021,9.4,"
The last of the great partisans, who located Hitler's ""wonder weapon"", returns to the war that took away his feelings and identity, but failed to rob him of his values as a human being.",Roman Shumunov
21,Our Catherine,2018,9.3,"
Set in modern day South Shields, County Durham, young English author Catherine Cookson is transported from the 1920s and returns to her hometown.",Jon Burton
22,Delta Justice: The Islenos Trappers War,2015,9.3,"
A littleknown historical event that happened in South Louisiana in 1926, The Trappers War was a blood feud that erupted between local Islenos (original Canary Island immigrants) and ...                See full summary »
",David DuBos
23,Pedro,2020,9.2,"
An intimate look at the life of Dom Pedro I and the historical events that revolve around the prince, anticipating a decisive moment in his trajectory. In 1831, the first Emperor of Brazil ...                See full summary »
",Laís Bodanzky
24,Make/Believe,2018,9.2,"
Make/Believe is a nuanced personal portrait of Matthew Zorpas, a devoted influencer and one of the world's most fashionable gentlemen.",Konstantinos Menelaou
25,Tell Me a Story: the Life of J.L. Tramel,2016,9.2,"
Filmmaker Clayton Tramel chronicles the hilarious, touching, and extraordinary life of his grandfather J.L. Tramel through interviews with the man himself, and those who knew him best.",Clayton Tramel
26,Raskal Love,2012,9.2,"
Vanna Fut, aka 'Lazy' was initiated into Tiny Raskal Gang at the age of 11. He takes us through his experiences in gang life, to becoming a pioneering breakdancer in Seattle during the 90'...                See full summary »
",Byron Q.
27,Lo spirito del serchio,2009,9.2,"
An Italian documentary film, interviews Gino Birindelli and explores the history of the Adverters of the Queen of the Queen of the Navy during the Second World War.",Claudio Costa
28,Wage,2017,9,"
Wage is a biopic movie about the creator of the national anthem of Indonesia titled Indonesia Raya (The Great Indonesia), Wage Rudolf Soepratman.",John de Rantau
29,Sweet Pain,2019,9,"
Carlo, a young music composer from a wealthy family, is going through an emotional crisis. When he moves to a new house he recalls the events and factors that led to his condition: the ...                See full summary »
",Gonzalo López
30,The Scars of Ali Boulala,2021,9,"
Ali Boulala became legendary in the 90s for being the most eccentric skateboarder of his time. In 2007, Ali and teammate Shane Cross were in a tragic motorcycle accident. Both were heavily ...                See full summary »
",Max Eriksson
31,Raja Harishchandrra,1979,9,"
        Add a Plot
",Ashish Kumar
32,The Message,1976,9,"
The story of prophet ""Muhammad"" and the delivery of the message of God ""Allah.""",Moustapha Akkad
33,Thirty,2008,8.9,"
In a very agitated political context, the march for independence from French Colonialism, intellectual patriots, activists and freedom fighters sought to reform and develop the Tunisian Society at that specific time.",Fadhel Jaziri
34,Dhuusar,2019,8.9,"
Dhuusar chronicles three distinct phases of Shiladitya's life as he finds himself in the whirlwind of unfavourable situations and his obsession to escape from them. A mother, a jailer, a ...                See full summary »
",Snehashish Mondal
35,Alfonso Sansone produttore per caso,2014,8.9,"
After the war, almost by chance, Alfonso Sansone starts to produce documentary films and moves from Palermo to Rome, the city of film.",Claudio Costa
36,Your Brother. Remember?,2012,8.9,"
Twenty years in the making, this drama/documentary uses home movies, rerecreations, and Hollywood film footage in a hilarious and poignant attempt at sibling reconciliation, with the spiritual guidance of JeanClaude Van Damme.",Zachary Oberzan
37,Break Every Chain,2021,8.9,"
A police officer's battle with alcoholism, depression and devastating loss; and the true story of how God changed his life forever.",Tim Searfoss
38,"Oh, Mr. Faulkner, Do You Write?",2006,8.9,"
John Maxwell's critically acclaimed oneman show based on the life of William Faulkner is filmed before a live audience in Faulkner's home town of Oxford, Mississippi. In a rare visit to ...                See full summary »
",Jimbo Barnett
39,From Wharf Rats to Lords of the Docks,2007,8.9,"
        Add a Plot
",Haskell Wexler
40,Dr. Babasaheb Ambedkar,2000,8.9,"
Biopic of B. R. Ambedkar, known mainly for his contributions in the emancipation of the downtrodden and oppressed classes in India and shaping the Constitution of India.",Jabbar Patel
41,Schindler's List,1993,8.9,"
In Germanoccupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Steven Spielberg
42,Anandi Gopal,2019,8.8,"
Biopic of one of the earliest Indian female physicians Anandibai Gopalrao Joshi.",Sameer Vidwans
43,Harry Styles: Behind the Album,2017,8.8,"
""Harry Styles: Behind the Album,"" a new film from production company Fulwell 73, chronicles Harry's musical journey while creating his much anticipated debut solo album. The film features ...                See full summary »
",Paul Dugdale
44,Bartok,2017,8.8,"
        Add a Plot
",József Sipos
45,Kurdistan Kurdistan,2015,8.8,"
        Add a Plot
",Bulent Gunduz
46,Ekvtime: Man of God,2018,8.8,"
Man who was a Guardian of The National Treasure of his homeland Sakartvelo (Georgia) in France placed in 39 big boxes, did not lose any item and brought it back in 1945 after 24 years of struggle and became a national hero.",Nikoloz Khomasuridze
47,The Wonderful World of Bill Maynard,2013,8.8,"
For decades, Bill Maynard's showbiz career has been varied and vast. Now he goes into detail about his life and experiences and why he has now embarked on an album of unique songs with a difference.",Rick McLeod
48,Anathema Arienette,2015,8.8,"
A compilation of home movies and video journals shot by a depressed teenage girl.",Jay Burleson
49,A Man Called Ahok,2018,8.7,"
Depicts the life of the titular former governor of Jakarta before he ran for office, Ahok learned a lot about discipline from his father who ran a mining business in Belitung while dealing with various corrupt people.",Putrama Tuta
50,De,2020,8.7,"
        Add a Plot
",Francisco Matias
